,el,er,ia,sr
317,1.0,10.0,0.0,0.0
318,2.0,0.0,1.0,0.0
319,5.0,8.0,1.0,0.0
320,2.0,8.0,1.0,0.0
321,1.0,10.0,0.0,0.0
322,1.0,10.0,0.0,0.0
323,2.0,8.0,1.0,0.0
324,1.0,10.0,0.0,0.0
325,1.0,10.0,0.0,0.0
326,2.0,10.0,0.0,0.0
327,2.0,10.0,0.0,0.0
328,3.0,-10.0,2.0,0.0
329,3.0,6.0,2.0,0.0
330,1.0,10.0,0.0,0.0
331,4.0,-12.0,3.0,0.0
332,1.0,10.0,0.0,0.0
333,1.0,10.0,0.0,0.0
334,5.0,-22.0,4.0,0.0
335,1.0,10.0,0.0,0.0
336,1.0,10.0,0.0,0.0
337,4.0,6.0,2.0,0.0
338,2.0,10.0,0.0,0.0
339,1.0,10.0,0.0,0.0
340,3.0,8.0,1.0,0.0
341,1.0,10.0,0.0,0.0
342,3.0,6.0,2.0,0.0
343,1.0,10.0,0.0,0.0
344,1.0,10.0,0.0,0.0
345,3.0,6.0,2.0,0.0
346,3.0,8.0,1.0,0.0
347,1.0,10.0,0.0,0.0
348,1.0,10.0,0.0,0.0
349,2.0,0.0,1.0,0.0
350,1.0,10.0,0.0,0.0
351,2.0,10.0,0.0,0.0
352,2.0,0.0,1.0,0.0
353,5.0,4.0,3.0,0.0
354,2.0,8.0,1.0,0.0
355,3.0,8.0,1.0,0.0
356,3.0,-2.0,2.0,0.0
357,3.0,-10.0,2.0,0.0
358,1.0,10.0,0.0,0.0
359,1.0,10.0,0.0,0.0
360,1.0,10.0,0.0,0.0
361,2.0,8.0,1.0,0.0
362,2.0,8.0,1.0,0.0
363,2.0,0.0,1.0,0.0
364,1.0,10.0,0.0,0.0
365,2.0,8.0,1.0,0.0
366,2.0,8.0,1.0,0.0
367,2.0,8.0,1.0,0.0
368,1.0,10.0,0.0,0.0
369,1.0,10.0,0.0,0.0
370,2.0,8.0,1.0,0.0
371,2.0,0.0,1.0,0.0
372,3.0,-10.0,2.0,0.0
373,2.0,10.0,0.0,0.0
374,1.0,10.0,0.0,0.0
375,2.0,8.0,1.0,0.0
376,11.0,-24.0,8.0,0.0
377,2.0,8.0,1.0,0.0
378,1.0,10.0,0.0,0.0
379,1.0,10.0,0.0,0.0
380,3.0,-10.0,2.0,0.0
381,1.0,10.0,0.0,0.0
382,1.0,10.0,0.0,0.0
383,11.0,-20.0,10.0,0.0
384,1.0,10.0,0.0,0.0
385,1.0,10.0,0.0,0.0
386,1.0,10.0,0.0,0.0
387,1.0,10.0,0.0,0.0
388,1.0,10.0,0.0,0.0
389,11.0,-26.0,9.0,0.0
390,1.0,10.0,0.0,0.0
391,2.0,8.0,1.0,0.0
