,Unnamed: 0,ct,el,er,t
848,,0.0,6.0,10.0,12715.195868968964
849,,0.0,1.0,10.0,12727.375425815582
850,,0.0,4.0,10.0,12771.999880075455
851,,0.0,2.0,10.0,12795.914133310318
852,,0.0,5.0,10.0,12854.555605888367
853,,0.0,2.0,10.0,12874.457660913467
854,,0.0,1.0,10.0,12885.012169837952
855,,0.0,4.0,10.0,12932.930931329727
856,,0.0,3.0,10.0,12968.915894269943
857,,0.0,4.0,10.0,13013.40552020073
858,,0.0,4.0,10.0,13058.182937860489
859,,0.0,11.0,0.0,13191.053731918335
860,,0.0,6.0,10.0,13258.523067951202
861,,0.0,3.0,10.0,13292.177724123001
862,,0.0,11.0,0.0,13427.914182424545
863,,0.0,4.0,10.0,13473.985048294067
864,,0.0,9.0,10.0,13581.037710905075
865,,0.0,9.0,10.0,13682.241029500961
866,,0.0,11.0,10.0,13809.91306233406
867,,0.0,9.0,10.0,13927.54176735878
868,,0.0,8.0,10.0,14020.171818256378
869,,0.0,3.0,10.0,14053.3254134655
870,,0.0,4.0,10.0,14102.824847221375
871,,0.0,11.0,0.0,14233.234668016434
872,,0.0,2.0,10.0,14253.668494224548
873,,0.0,11.0,0.0,14383.102223157883
874,,0.0,2.0,10.0,14405.479239702225
875,,0.0,2.0,10.0,14426.469918012619
876,,0.0,3.0,10.0,14462.07727098465
877,,0.0,4.0,10.0,14505.906130075455
878,,0.0,2.0,10.0,14527.395457029343
879,,0.0,5.0,10.0,14586.67019367218
880,,0.0,9.0,10.0,14693.669040203094
881,,0.0,6.0,10.0,14759.060956001282
882,,0.0,9.0,10.0,14860.757967233658
883,,0.0,4.0,10.0,14908.293025970459
884,,0.0,11.0,0.0,15043.191056728363
885,,0.0,7.0,10.0,15124.641627788544
886,,0.0,8.0,10.0,15214.093585968018
887,,0.0,8.0,10.0,15306.584867238998
888,,0.0,11.0,0.0,15435.70372414589
889,,0.0,5.0,10.0,15493.720417499542
890,,0.0,3.0,10.0,15529.154253721237
891,,0.0,8.0,10.0,15620.427462816238
892,,0.0,6.0,10.0,15687.724853754044
893,,0.0,4.0,10.0,15732.650025129318
894,,0.0,11.0,0.0,15863.181773662567
895,,0.0,11.0,0.0,15996.112752199173
896,,0.0,4.0,10.0,16043.025800466537
897,,0.0,11.0,0.0,16176.215938091278
898,,0.0,5.0,10.0,16234.416791200638
899,,0.0,8.0,10.0,16323.806976795197
900,,0.0,2.0,10.0,16343.666476488113
901,,0.0,5.0,10.0,16403.633239984512
902,,0.0,6.0,10.0,16472.755885362625
903,,0.0,11.0,0.0,16606.904841899872
904,,0.0,4.0,10.0,16657.463582754135
905,,0.0,6.0,10.0,16728.782067775726
906,,0.0,11.0,0.0,16857.848239660263
907,,0.0,8.0,10.0,16950.899397611618
908,,0.0,6.0,10.0,17024.458651065826
909,,0.0,11.0,0.0,17162.02411222458
910,,0.0,11.0,0.0,17292.44867324829
911,,0.0,9.0,10.0,17395.96026778221
912,,0.0,11.0,0.0,17537.55424284935
913,,0.0,5.0,10.0,17594.08590912819
914,,0.0,6.0,10.0,17666.929848194122
915,,0.0,6.0,10.0,17732.851598262787
916,,0.0,1.0,10.0,17741.90710902214
917,,0.0,9.0,10.0,17842.48967218399
918,,0.0,10.0,10.0,17956.47279715538
919,,0.0,5.0,10.0,18014.619542837143
920,,0.0,5.0,10.0,18070.882294654846
921,,0.0,1.0,10.0,18078.846766233444
922,,0.0,11.0,0.0,18209.094161510468
923,,0.0,11.0,0.0,18341.056164503098
924,,0.0,8.0,10.0,18434.035562753677
925,,0.0,2.0,10.0,18453.842138767242
926,,0.0,11.0,0.0,18586.51814389229
927,,0.0,4.0,10.0,18633.95909023285
928,,0.0,4.0,10.0,18681.494727134705
929,,0.0,5.0,10.0,18739.370271921158
930,,0.0,3.0,10.0,18770.262182474136
931,,0.0,1.0,10.0,18781.573268413544
932,,0.0,5.0,10.0,18837.795375585556
933,,0.0,11.0,10.0,18970.272582769394
934,,0.0,2.0,10.0,18992.83872652054
935,,0.0,11.0,0.0,19122.771964788437
936,,0.0,10.0,10.0,19236.214601039886
937,,0.0,11.0,0.0,19366.611473321915
938,,0.0,4.0,10.0,19409.397612333298
939,,0.0,11.0,0.0,19538.529096126556
940,,0.0,2.0,10.0,19561.485662460327
941,,0.0,11.0,0.0,19693.437827587128
942,,0.0,11.0,0.0,19824.4971575737
943,,0.0,3.0,10.0,19857.098188638687
944,,0.0,11.0,0.0,19996.319746017456
945,,0.0,11.0,0.0,20127.52840256691
946,,0.0,11.0,0.0,20260.67945075035
947,,0.0,3.0,10.0,20292.450715780258
948,,0.0,8.0,10.0,20383.937402248383
949,,0.0,5.0,10.0,20439.39774799347
950,,0.0,11.0,0.0,20568.86852478981
951,,0.0,11.0,10.0,20693.352150917053
952,,0.0,11.0,0.0,20823.857219696045
953,,0.0,9.0,10.0,20925.90272283554
